Date,AveragePrice,Total Volume,Revenue
2015-01-04,0.93,5777334.9,5372921.457
2015-01-11,0.92,6024932.34,5542937.7528
2015-01-18,1.02,5570915.26,5682333.5652
2015-01-25,1.06,4929884.26,5225677.3156
2015-02-01,0.85,9032180.67,7677353.569499999
2015-02-08,0.91,5871224.58,5342814.3678
2015-02-15,0.96,5699944.93,5471947.1328
2015-02-22,0.96,5951871.32,5713796.4672
2015-03-01,0.84,6700134.25,5628112.77
2015-03-08,0.96,5990243.89,5750634.1344
2015-03-15,1.06,5557163.11,5890592.896600001
2015-03-22,1.06,5571812.77,5906121.5362
2015-03-29,1.1,5341821.67,5876003.837
2015-04-05,1.12,5467155.55,6123214.216
2015-04-12,1.06,5636644.51,5974843.1806
2015-04-19,1.05,5871080.81,6164634.8505
2015-04-26,1.15,4923565.04,5662099.795999999
2015-05-03,0.88,8567534.49,7539430.3512
2015-05-10,0.93,6650357.96,6184832.9028
2015-05-17,1.08,5289138.5,5712269.58
2015-05-24,1.1,5621713.64,6183885.004
2015-05-31,0.98,6236903.31,6112165.243799999
2015-06-07,0.98,6374842.9,6247346.042
2015-06-14,0.97,6741662.31,6539412.440699999
2015-06-21,1.07,5952597.29,6369279.1003
2015-06-28,1.1,5641742.02,6205916.222
2015-07-05,1.12,6718011.83,7524173.249600001
2015-07-12,1.13,5451636.92,6160349.7195999995
2015-07-19,1.18,5225200.52,6165736.613599999
2015-07-26,1.13,5557616.27,6280106.385099999
2015-08-02,1.16,5428238.87,6296757.089199999
2015-08-09,1.1,6232081.27,6855289.397
2015-08-16,1.11,5616434.08,6234241.8288
2015-08-23,1.18,5193221.0,6128000.779999999
2015-08-30,1.08,5647385.15,6099175.962000001
2015-09-06,1.09,5806392.78,6328968.1302000005
2015-09-13,1.13,5106508.12,5770354.1756
2015-09-20,1.14,4759791.13,5426161.888199999
2015-09-27,1.04,5216784.63,5425456.0152
2015-10-04,1.02,4943781.29,5042656.915800001
2015-10-11,1.08,5063309.38,5468374.1304
2015-10-18,1.07,4999031.79,5348964.0153
2015-10-25,1.12,4592461.81,5143557.2272
2015-11-01,0.95,5830427.96,5538906.562
2015-11-08,0.98,5148983.51,5046003.839799999
2015-11-15,0.83,5755190.69,4776808.272700001
2015-11-22,0.92,4804278.16,4419935.9072
2015-11-29,0.91,4575710.62,4163896.6642000005
2015-12-06,0.78,5775536.27,4504918.2906
2015-12-13,0.87,5259354.3,4575638.240999999
2015-12-20,0.94,4695737.21,4413992.977399999
2015-12-27,0.9,5040365.47,4536328.9229999995
2016-01-03,0.73,7730431.28,5643214.8344
2016-01-10,0.87,6303406.82,5483963.9334
2016-01-17,0.9,6000013.23,5400011.907000001
2016-01-24,0.88,6246380.73,5496815.042400001
2016-01-31,0.88,6506673.96,5725873.0848
2016-02-07,0.7,10361698.17,7253188.719
2016-02-14,0.82,6807283.15,5581972.183
2016-02-21,0.89,6374019.03,5672876.9367
2016-02-28,0.89,6588277.7,5863567.153
2016-03-06,0.92,6429870.23,5915480.6116
2016-03-13,0.96,6017563.88,5776861.3248
2016-03-20,0.91,6476206.54,5893347.951400001
2016-03-27,0.93,6603707.93,6141448.3749
2016-04-03,0.93,6060843.76,5636584.6968
2016-04-10,0.94,6509000.56,6118460.526399999
2016-04-17,0.93,6397813.48,5949966.536400001
2016-04-24,0.84,6933382.4,5824041.216
2016-05-01,0.75,7661483.37,5746112.5275
2016-05-08,0.79,7808461.74,6168684.7746
2016-05-15,0.97,6068872.71,5886806.5287
2016-05-22,0.9,6501981.08,5851782.972
