,AveragePrice
0,1.33
1,1.35
2,0.93
3,1.08
4,1.28
5,1.26
6,0.99
7,0.98
8,1.02
9,1.07
10,1.12
11,1.28
12,1.31
13,0.99
14,1.33
15,1.28
16,1.11
17,1.07
18,1.34
19,1.33
20,1.12
21,1.45
22,1.11
23,1.26
24,1.05
25,1.35
26,1.37
27,1.27
28,1.32
29,1.07
30,1.23
31,1.19
32,1.43
33,1.26
34,1.2
35,1.22
36,1.19
37,1.13
38,1.16
39,1.02
40,1.12
41,1.11
42,1.07
43,0.99
44,1.07
45,1.06
46,0.99
47,0.99
48,1.06
49,1.17
50,1.24
51,1.22
0,0.99
1,1.08
2,0.96
3,1.07
4,0.99
5,1.0
6,1.13
7,1.12
8,0.99
9,1.09
10,1.09
11,0.95
12,0.96
13,1.07
14,0.93
15,1.07
16,0.97
17,1.15
18,1.12
19,1.09
20,1.01
21,1.15
22,1.08
23,0.97
24,1.14
25,1.01
26,1.13
27,0.99
28,1.1
29,0.99
30,1.1
31,0.96
32,1.11
33,1.1
34,1.0
35,1.12
36,1.12
37,0.99
38,1.04
39,1.11
40,1.0
41,1.12
42,1.1
43,0.99
44,1.1
45,1.06
46,1.03
47,0.96
48,1.1
49,1.11
50,1.11
51,1.0
0,1.17
1,1.11
2,1.15
3,1.04
4,1.16
5,1.12
6,1.04
7,1.05
8,1.12
9,1.19
10,0.99
11,1.24
12,1.28
13,1.19
14,1.17
15,1.09
16,1.18
17,1.24
18,1.16
19,1.14
20,1.16
21,1.17
22,1.2
23,1.18
24,1.1
25,1.16
26,1.15
27,1.16
28,1.09
29,1.26
30,1.19
31,1.18
32,1.27
33,1.26
34,1.17
35,1.29
36,1.28
37,1.15
38,1.29
39,1.25
40,1.1
41,1.24
42,1.26
43,1.16
44,1.11
45,1.25
46,1.09
47,1.06
48,1.2
49,1.23
50,1.17
51,1.08
0,0.97
1,1.03
2,0.99
3,0.71
4,1.06
5,1.09
6,1.01
7,1.11
8,1.14
9,1.11
10,1.16
11,0.94
12,1.12
13,0.99
14,1.03
15,1.08
16,1.16
17,1.19
18,1.05
19,1.12
20,1.1
21,1.07
22,1.07
23,1.09
24,1.05
25,1.15
26,1.04
27,1.06
28,0.99
29,1.12
30,0.97
31,1.03
32,0.96
33,1.06
34,1.0
35,0.96
36,0.99
37,1.19
38,1.09
39,0.98
40,1.17
41,1.0
42,1.14
43,1.06
44,0.99
45,1.14
46,1.07
47,0.91
48,1.03
49,1.08
50,1.18
51,1.01
0,1.13
1,1.07
2,1.01
3,1.02
4,1.19
5,1.07
6,1.05
7,1.04
8,1.06
9,1.02
10,0.94
11,1.14
12,1.07
13,1.07
14,1.15
15,1.03
16,1.11
17,1.13
18,1.07
19,1.15
20,1.07
21,1.17
22,1.28
23,1.18
24,1.14
25,1.27
26,1.25
27,1.24
28,1.08
29,1.25
30,1.26
31,1.14
32,1.26
33,1.14
34,1.17
35,1.28
36,1.15
37,1.26
38,1.27
39,1.19
40,1.18
41,1.25
42,1.17
43,1.11
44,1.23
45,1.2
46,1.04
47,1.22
48,1.17
49,1.23
50,1.1
51,1.02
0,1.35
1,1.37
2,1.35
3,1.23
4,1.39
5,1.4
6,1.36
7,1.3
8,1.23
9,1.36
10,1.29
11,1.3
12,1.33
13,1.31
14,1.54
15,1.59
16,1.56
17,1.38
18,1.49
19,1.5
20,1.47
21,1.47
22,1.39
23,1.36
24,1.45
25,1.47
26,1.36
27,1.5
28,1.34
29,1.38
30,1.4
31,1.43
32,1.35
33,1.33
34,1.42
35,1.41
36,1.42
37,1.42
38,1.44
39,1.39
40,1.4
41,1.47
42,1.35
43,1.43
44,1.41
45,1.44
46,1.36
47,1.33
48,1.5
49,1.52
50,1.54
51,1.4
0,0.9
1,0.94
2,0.87
3,0.78
4,0.91
5,0.92
6,0.83
7,0.98
8,0.95
9,1.12
10,1.07
11,1.08
12,1.02
13,1.04
14,1.14
15,1.13
16,1.09
17,1.08
18,1.18
19,1.11
20,1.1
21,1.16
22,1.13
23,1.18
24,1.13
25,1.12
26,1.1
27,1.07
28,0.97
29,0.98
30,0.98
31,1.1
32,1.08
33,0.93
34,0.88
35,1.15
36,1.05
37,1.06
38,1.12
39,1.1
40,1.06
41,1.06
42,0.96
43,0.84
44,0.96
45,0.96
46,0.91
47,0.85
48,1.06
49,1.02
50,0.92
51,0.93
0,0.96
1,0.98
2,0.95
3,0.99
4,0.95
5,1.0
6,1.01
7,1.03
8,1.11
9,1.27
10,1.26
11,1.14
12,1.22
13,1.09
14,1.2
15,1.19
16,1.01
17,1.2
18,1.15
19,1.24
20,1.21
21,1.24
22,1.23
23,1.19
24,1.18
25,1.18
26,1.17
27,1.17
28,1.15
29,1.15
30,1.19
31,1.2
32,1.21
33,1.19
34,1.0
35,1.2
36,1.18
37,1.17
38,1.19
39,1.23
40,1.19
41,1.19
42,1.25
43,1.18
44,1.08
45,1.22
46,1.17
47,0.98
48,1.18
49,1.25
50,1.26
51,1.19
0,0.93
1,0.91
2,1.07
3,1.14
4,1.11
5,0.94
6,1.17
7,1.01
8,1.0
9,1.12
10,1.15
11,1.08
12,1.18
13,1.15
14,1.19
15,1.19
16,1.11
17,1.12
18,1.2
19,1.16
20,1.25
21,1.27
22,1.12
23,1.24
24,1.26
25,1.24
26,1.21
27,1.24
28,1.21
29,1.24
30,1.26
31,1.23
32,1.23
33,1.23
